dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
1	0	6	1	1	22290	10265	0	0.000224315836698071	0	0.000179452669358457	4.48631673396142e-05	0.00130103185284881	0	0	0	0	0	0	0	0	0.0427248904042864
2	0	6	1	2	82448	22024	0	1.21288569765185e-05	0	1.21288569765185e-05	0	0.000218319425577334	0	0	0	0	0	0	0	0	0.035807982201235
3	0	6	1	3	13796	7399	0	0.000144969556393157	0	7.24847781965787e-05	0	0.000362423890982894	0	0	0	0	0	0	0	0	0.040974996621165
4	0	6	1	4	12894	8476	0	7.7555452148286e-05	0	0.000155110904296572	0	0.00170621994726229	0	0	0	0	0	0	0	0	0.0432407975460123
5	0	6	1	5	39832	14230	2.51054428600121e-05	5.02108857200241e-05	0	0.000175738100020084	0	0.000426792528620205	0	0	0	0	0	0	0	0	0.0387939564300773
6	0	6	1	6	10135	7177	0.000789343857918106	0.000493339911198816	0.00434139121854958	0.00128268376911692	0.00266403552047361	0.00404538727183029	0	0	0	1	0	0	0	0	0.0433413682597185
7	0	6	1	7	46803	19099	0.000170929213939277	0.000149563062196868	0.00138879986325663	0.000170929213939277	0.000982842980150845	0.000534153793560242	0	0	0	0	0	0	0	0	0.0368367453793392
8	0	6	1	8	43124	11870	0	9.27557740469344e-05	2.31889435117336e-05	0	0	0.000185511548093869	0	0	0	0	0	0	0	0	0.0367165964616681
9	0	6	1	9	39203	18345	5.10165038389919e-05	0.000102033007677984	0.00119888784021631	0.000765247557584879	0.000229574267275464	0.00150498686325026	0	0	0	0	0	0	0	0	0.0371482692831834
10	0	6	1	10	41434	15776	4.82695370951393e-05	9.65390741902785e-05	0.000748177824974659	7.24043056427089e-05	4.82695370951393e-05	0.00147222088140175	4.82695370951393e-05	0	0	0	0	0	0	0	0.0359109406693712
11	0	6	1	11	25926	11709	7.71426367353236e-05	0.000462855820411942	0.000462855820411942	0.000115713955102985	0.00150428141633881	0.00312427678778061	0.000154285273470647	0	0	0	0	0	0	0	0.0387142369117773
12	0	6	1	12	50774	15252	7.87804781975027e-05	0.000118170717296254	0.000925670618820656	0.000689329184228148	0.00045298774963564	0.000649938945129397	1.96951195493757e-05	0	0	0	0	0	0	0	0.0432059402045633
13	0	6	1	13	22138	10320	4.51711988436173e-05	9.03423976872346e-05	0.000316198391905321	0.000858252778028729	0	0.0013099647664649	0	0	0	0	0	0	0	0	0.0393921511627907
14	0	6	1	14	39492	14252	0.000987541780613795	0.00020257267294642	2.53215841183024e-05	0	0	0	0	0	0	0	0	0	0	0	0.0381725371877631
15	0	6	1	15	26807	11607	0.000149214757339501	3.73036893348752e-05	0.00104450330137651	0.000335733204013877	0.000223822136009251	0.000186518446674376	0	0	0	0	0	0	0	0	0.0383724476608943
16	0	6	1	16	30095	13273	0.000132912443927563	0.000465193553746469	0.000299052998837016	9.9684332945672e-05	0.00159494932713075	0.00481807609237415	6.64562219637814e-05	0	0	0	0	1	0	0	0.0397954494085738
